id,name,price,stock,description,isArchived
1,Produit 0,84.25,30,Description automatique,
2,Produit 1,38.1,47,Description automatique,
3,Produit 2,7.86,32,Description automatique,
4,Produit 3,17.87,19,Description automatique,
5,Produit 4,1.99,2,Description automatique,
6,Produit 5,90.74,34,Description automatique,
7,Produit 6,29.26,9,Description automatique,
8,Produit 7,20.42,47,Description automatique,
9,Produit 8,62.86,31,Description automatique,
10,Produit 9,19.64,49,Description automatique,
11,Produit 10,13.98,37,Description automatique,
12,Produit 11,29.85,16,Description automatique,
13,Produit 12,43.71,36,Description automatique,
14,Produit 13,78.92,31,Description automatique,
15,Produit 14,97.01,49,Description automatique,
16,Produit 15,88.16,13,Description automatique,
17,Produit 16,51.81,23,Description automatique,
18,Produit 17,72.92,42,Description automatique,
19,Produit 18,27.81,22,Description automatique,
20,Produit 19,22.91,27,Description automatique,
21,Produit 20,81.17,25,Description automatique,
22,Produit 21,4.32,22,Description automatique,
23,Produit 22,36.63,28,Description automatique,
24,Produit 23,59.9,40,Description automatique,
25,Produit 24,73.45,41,Description automatique,
26,Produit 25,91.81,7,Description automatique,
27,Produit 26,92.78,38,Description automatique,
28,Produit 27,96.85,17,Description automatique,
29,Produit 28,5.42,6,Description automatique,
30,Produit 29,99.21,19,Description automatique,
31,Produit 30,6.99,33,Description automatique,
32,Produit 31,49.84,47,Description automatique,
33,Produit 32,99.52,41,Description automatique,
34,Produit 33,45.93,49,Description automatique,
35,Produit 34,26.6,21,Description automatique,
36,Produit 35,32.3,5,Description automatique,
37,Produit 36,59.97,12,Description automatique,
38,Produit 37,28.95,31,Description automatique,
39,Produit 38,40.37,47,Description automatique,
40,Produit 39,89.54,9,Description automatique,
41,Produit 40,71.27,4,Description automatique,
42,Produit 41,3.51,19,Description automatique,
43,Produit 42,83.47,28,Description automatique,
44,Produit 43,54.57,16,Description automatique,
45,Produit 44,96.46,17,Description automatique,
46,Produit 45,97.17,7,Description automatique,
47,Produit 46,98.03,0,Description automatique,
48,Produit 47,81.28,14,Description automatique,
49,Produit 48,52.24,46,Description automatique,
50,Produit 49,16.21,23,Description automatique,
51,Produit 50,70.08,46,Description automatique,
52,Produit 51,43.28,40,Description automatique,
53,Produit 52,94.25,48,Description automatique,
54,Produit 53,48.15,11,Description automatique,
55,Produit 54,73.48,24,Description automatique,
56,Produit 55,54.15,49,Description automatique,
57,Produit 56,53.76,21,Description automatique,
58,Produit 57,44.5,22,Description automatique,
59,Produit 58,4.08,5,Description automatique,
60,Produit 59,57.47,28,Description automatique,
61,Produit 60,86.67,16,Description automatique,
62,Produit 61,25.52,45,Description automatique,
63,Produit 62,80.37,14,Description automatique,
64,Produit 63,8.61,40,Description automatique,
65,Produit 64,51.64,35,Description automatique,
66,Produit 65,11.07,29,Description automatique,
67,Produit 66,88.21,7,Description automatique,
68,Produit 67,2.83,37,Description automatique,
69,Produit 68,22.8,40,Description automatique,
70,Produit 69,96.11,43,Description automatique,
71,Produit 70,85.17,11,Description automatique,
72,Produit 71,51.7,41,Description automatique,
73,Produit 72,68.04,8,Description automatique,
74,Produit 73,47.85,17,Description automatique,
75,Produit 74,64.17,15,Description automatique,
76,Produit 75,76.88,14,Description automatique,
77,Produit 76,38.23,11,Description automatique,
78,Produit 77,4.59,43,Description automatique,
79,Produit 78,31.59,1,Description automatique,
80,Produit 79,77.9,38,Description automatique,
81,Produit 80,93.11,15,Description automatique,
82,Produit 81,14.08,9,Description automatique,
83,Produit 82,63.37,24,Description automatique,
84,Produit 83,6.38,10,Description automatique,
85,Produit 84,62.61,33,Description automatique,
86,Produit 85,93.06,49,Description automatique,
87,Produit 86,7.12,21,Description automatique,
88,Produit 87,78.75,39,Description automatique,
89,Produit 88,84.2,5,Description automatique,
90,Produit 89,90.41,28,Description automatique,
91,Produit 90,56.41,12,Description automatique,
92,Produit 91,18.84,0,Description automatique,
93,Produit 92,9.96,0,Description automatique,
94,Produit 93,85.28,18,Description automatique,
95,Produit 94,81.55,31,Description automatique,
96,Produit 95,86.1,1,Description automatique,
97,Produit 96,77.78,1,Description automatique,
98,Produit 97,34.55,22,Description automatique,
99,Produit 98,7.61,23,Description automatique,
100,Produit 99,23.04,4,Description automatique,
101,Produit 100,83.59,38,Description automatique,
102,Produit 101,79.46,37,Description automatique,
103,Produit 102,0.16,49,Description automatique,
104,Produit 103,6.08,3,Description automatique,
105,Produit 104,65.7,33,Description automatique,
106,Produit 105,69.82,46,Description automatique,
107,Produit 106,36.85,31,Description automatique,
108,Produit 107,33.52,5,Description automatique,
109,Produit 108,79.47,38,Description automatique,
110,Produit 109,73.71,21,Description automatique,
111,Produit 110,87.17,35,Description automatique,
112,Produit 111,93.7,2,Description automatique,
113,Produit 112,5.1,29,Description automatique,
114,Produit 113,7.38,4,Description automatique,
115,Produit 114,94.99,30,Description automatique,
116,Produit 115,68.65,39,Description automatique,
117,Produit 116,44.34,41,Description automatique,
118,Produit 117,76.74,44,Description automatique,
